Name,YearOpened,Annual Revenue,Store Trading Duration
Valley Bicycle Specialists,1979,300000.00,40
Major Sport Suppliers,1998,300000.00,21
Systematic Sales,1999,300000.00,20
eCommerce Bikes,1999,300000.00,20
Designated Distributors,1979,300000.00,40
Bold Bike Accessories,1999,300000.00,20
Acclaimed Bicycle Company,1979,300000.00,40
Serious Cycles,1996,300000.00,23
Quality Bike Sales,1991,300000.00,28
Novelty Bikes,1993,300000.00,26
Distinctive Cycles Sales & Service,1995,300000.00,24
Immense Manufacturing Company,1998,300000.00,21
Extended Bike Sales,1990,300000.00,29
Safe Cycles Shop,1998,300000.00,21
Number 1 Supply,1990,300000.00,29
Industrial Supplies,1995,300000.00,24
Golf and Cycle Store,1978,300000.00,41
Front Runner Bikes,1983,300000.00,36
Favorite Toy Distributor,1975,300000.00,44
Pro Sporting Goods,1972,300000.00,47
Sporting Goods and Bicycle Shop,1977,300000.00,42
Odometers and Accessories Company,1987,300000.00,32
Raw Materials Inc,1998,300000.00,21
Lots of Bikes Storehouse,1990,300000.00,29
Futuristic Bikes,1995,300000.00,24
Prosperous Tours,1999,300000.00,20
Nonskid Tire Company,1999,300000.00,20
Amalgamated Parts Shop,1999,300000.00,20
Metro Bike Works,1999,300000.00,20
Custom Accessories Company,1998,300000.00,21
Unusual Bicycle Company,1999,300000.00,20
Farthest Bike Store,1987,300000.00,32
Excellent Bikes,1992,300000.00,27
Curbside Universe,1984,300000.00,35
Retail Mall,1977,300000.00,42
Racing Store,1987,300000.00,32
Metro Metals Co.,1974,300000.00,45
Metro Cycle Shop,1989,300000.00,30
Outdoor Sporting Goods,1981,300000.00,38
Tread Industries,1986,300000.00,33
Petroleum Products Distributors,1978,300000.00,41
Budget Toy Store,1998,300000.00,21
Camping and Sports Store,1987,300000.00,32
Ace Bicycle Supply,1992,300000.00,27
Westside Plaza,1989,300000.00,30
Ultimate Bike Shop,1981,300000.00,38
Outstanding Cycles,1986,300000.00,33
Vigorous Sports Store,1984,300000.00,35
Sports Merchandise,1989,300000.00,30
Fitness Toy Store,1981,300000.00,38
Kids and Adults Cycle Shop,1974,300000.00,45
Grand Discount Store,1974,300000.00,45
Genuine Bike Shop,1980,300000.00,39
Extreme Riding Supplies,1986,300000.00,33
Bike Rims Company,1992,300000.00,27
Nearby Bike Mall,1983,300000.00,36
Handy Bike Services,1975,300000.00,44
Friendly Bike Shop,1980,300000.00,39
Fashionable Bikes and Accessories,1972,300000.00,47
Extreme Toy Store,1977,300000.00,42
Citywide Service and Repair,1987,300000.00,32
Best Cycle Store,1974,300000.00,45
Professional Sporting Goods,1974,300000.00,45
Rugged Bikes,1980,300000.00,39
Principal Bike Company,1986,300000.00,33
One-Piece Handle Bars,1992,300000.00,27
Finer Riding Supplies,1998,300000.00,21
Neighborhood Store,1983,300000.00,36
Online Bike Catalog,1975,300000.00,44
Outdoor Equipment Store,1980,300000.00,39
Paint Supply,1972,300000.00,47
Preferred Bikes,1977,300000.00,42
Rally Day Mall,1987,300000.00,32
Rewarding Activities Company,1974,300000.00,45
Rich Department Store,1974,300000.00,45
Sales and Supply Company,1980,300000.00,39
Stationary Bikes and Stands,1986,300000.00,33
Roadway Bike Emporium,1998,300000.00,21
"Sleek Bikes ",1999,300000.00,20
Retail Sporting Equipment,1999,300000.00,20
Price-Cutter Discount Bikes,1979,300000.00,40
Brand New Bikes,1996,300000.00,23
Central Bicycle Specialists,1991,300000.00,28
Vast Bike Sales and Rental,1993,300000.00,26
Summer Sports Place,1998,300000.00,21
Real Sporting Goods,1990,300000.00,29
Versatile Sporting Goods Company,1996,300000.00,23
Bicycle Outfitters,1991,300000.00,28
The Bike Shop,1993,300000.00,26
Safe Toys,1998,300000.00,21
Qualified Sales and Repair Services,1990,300000.00,29
Our Sporting Goods Store,1995,300000.00,24
Lustrous Paints and Components,1987,300000.00,32
Expert Sports Store,1992,300000.00,27
Coho Sports,1984,300000.00,35
