SquareFeet,NumberEmployees,Total Revenue
6000,4,60000.00
6000,2,90000.00
6000,5,90000.00
7000,6,30000.00
7000,7,30000.00
7000,9,30000.00
7000,2,60000.00
7000,4,120000.00
7000,8,150000.00
7000,5,180000.00
8000,2,60000.00
8000,8,60000.00
8000,3,60000.00
8000,9,90000.00
8000,4,90000.00
8000,7,120000.00
9000,7,30000.00
9000,9,30000.00
9000,4,30000.00
9000,2,60000.00
9000,3,60000.00
9000,5,90000.00
9000,8,120000.00
9000,6,180000.00
10000,5,30000.00
10000,9,30000.00
10000,3,60000.00
10000,4,60000.00
10000,2,120000.00
10000,6,120000.00
10000,8,150000.00
11000,6,30000.00
11000,8,90000.00
17000,11,160000.00
17000,10,480000.00
18000,12,160000.00
18000,13,240000.00
18000,17,240000.00
18000,10,240000.00
18000,11,320000.00
18000,14,400000.00
18000,16,400000.00
19000,15,80000.00
19000,11,80000.00
19000,12,160000.00
19000,14,240000.00
19000,16,240000.00
19000,18,320000.00
19000,13,320000.00
19000,10,320000.00
19000,19,400000.00
19000,17,480000.00
20000,15,80000.00
20000,17,160000.00
20000,13,160000.00
20000,11,160000.00
20000,19,160000.00
20000,12,320000.00
20000,14,320000.00
20000,18,400000.00
20000,16,400000.00
20000,10,400000.00
21000,10,80000.00
21000,18,160000.00
21000,16,240000.00
21000,13,240000.00
21000,12,240000.00
21000,14,320000.00
21000,15,320000.00
21000,17,320000.00
21000,11,400000.00
21000,19,480000.00
22000,15,80000.00
22000,12,160000.00
22000,13,160000.00
22000,19,160000.00
22000,14,320000.00
22000,16,320000.00
22000,17,400000.00
22000,18,400000.00
23000,18,240000.00
23000,19,400000.00
24000,22,100000.00
24000,27,100000.00
24000,25,200000.00
24000,29,300000.00
24000,20,400000.00
25000,25,100000.00
25000,22,100000.00
25000,27,100000.00
25000,20,300000.00
25000,28,400000.00
26000,27,100000.00
26000,28,200000.00
26000,29,200000.00
26000,22,200000.00
26000,25,300000.00
26000,20,300000.00
27000,25,100000.00
27000,29,100000.00
27000,28,100000.00
27000,27,200000.00
27000,22,300000.00
27000,20,300000.00
28000,27,100000.00
28000,28,600000.00
35000,30,150000.00
35000,32,150000.00
35000,33,300000.00
35000,34,300000.00
35000,31,450000.00
36000,31,150000.00
36000,33,150000.00
36000,35,150000.00
36000,41,150000.00
36000,39,300000.00
